DATE,ONS_AGE_GROUP,PRED,LOWER_CI,UPPER_CI
16-May-20,2 - 11 (Age 2 - School Year 6),0.23,0.04,0.71
30-May-20,2 - 11 (Age 2 - School Year 6),0.13,0.03,0.38
13-Jun-20,2 - 11 (Age 2 - School Year 6),0.05,0.00,0.30
27-Jun-20,2 - 11 (Age 2 - School Year 6),0.00,0.00,0.20
11-Jul-20,2 - 11 (Age 2 - School Year 6),0.07,0.00,0.40
25-Jul-20,2 - 11 (Age 2 - School Year 6),0.05,0.00,0.21
08-Aug-20,2 - 11 (Age 2 - School Year 6),0.03,0.00,0.15
22-Aug-20,2 - 11 (Age 2 - School Year 6),0.11,0.03,0.25
05-Sep-20,2 - 11 (Age 2 - School Year 6),0.22,0.10,0.40
19-Sep-20,2 - 11 (Age 2 - School Year 6),0.21,0.12,0.34
03-Oct-20,2 - 11 (Age 2 - School Year 6),0.42,0.31,0.57
17-Oct-20,2 - 11 (Age 2 - School Year 6),1.06,0.87,1.27
31-Oct-20,2 - 11 (Age 2 - School Year 6),1.29,1.08,1.53
14-Nov-20,2 - 11 (Age 2 - School Year 6),1.61,1.37,1.87
28-Nov-20,2 - 11 (Age 2 - School Year 6),1.23,1.04,1.45
12-Dec-20,2 - 11 (Age 2 - School Year 6),1.89,1.64,2.17
26-Dec-20,2 - 11 (Age 2 - School Year 6),2.58,2.24,2.95
09-Jan-21,2 - 11 (Age 2 - School Year 6),2.18,1.91,2.48
23-Jan-21,2 - 11 (Age 2 - School Year 6),2.02,1.76,2.31
06-Feb-21,2 - 11 (Age 2 - School Year 6),1.20,1.00,1.43
20-Feb-21,2 - 11 (Age 2 - School Year 6),0.53,0.40,0.70
06-Mar-21,2 - 11 (Age 2 - School Year 6),0.46,0.34,0.62
20-Mar-21,2 - 11 (Age 2 - School Year 6),0.52,0.38,0.69
03-Apr-21,2 - 11 (Age 2 - School Year 6),0.46,0.32,0.64
17-Apr-21,2 - 11 (Age 2 - School Year 6),0.22,0.13,0.36
01-May-21,2 - 11 (Age 2 - School Year 6),0.05,0.02,0.12
15-May-21,2 - 11 (Age 2 - School Year 6),0.15,0.08,0.25
29-May-21,2 - 11 (Age 2 - School Year 6),0.18,0.10,0.31
12-Jun-21,2 - 11 (Age 2 - School Year 6),0.20,0.11,0.32
26-Jun-21,2 - 11 (Age 2 - School Year 6),0.69,0.51,0.91
10-Jul-21,2 - 11 (Age 2 - School Year 6),1.42,1.18,1.70
24-Jul-21,2 - 11 (Age 2 - School Year 6),2.02,1.70,2.37
07-Aug-21,2 - 11 (Age 2 - School Year 6),2.25,1.92,2.63
21-Aug-21,2 - 11 (Age 2 - School Year 6),2.00,1.68,2.36
04-Sep-21,2 - 11 (Age 2 - School Year 6),1.96,1.66,2.31
18-Sep-21,2 - 11 (Age 2 - School Year 6),2.85,2.50,3.23
02-Oct-21,2 - 11 (Age 2 - School Year 6),3.75,3.35,4.18
16-Oct-21,2 - 11 (Age 2 - School Year 6),4.43,4.02,4.87
30-Oct-21,2 - 11 (Age 2 - School Year 6),4.35,3.93,4.81
13-Nov-21,2 - 11 (Age 2 - School Year 6),3.61,3.24,4.02
27-Nov-21,2 - 11 (Age 2 - School Year 6),4.63,4.19,5.10
11-Dec-21,2 - 11 (Age 2 - School Year 6),5.42,4.94,5.93
25-Dec-21,2 - 11 (Age 2 - School Year 6),7.01,6.41,7.65
03-Jan-22,2 - 11 (Age 2 - School Year 6),7.27,6.54,8.04
12-Jan-22,2 - 11 (Age 2 - School Year 6),8.01,7.33,8.70
19-Jan-22,2 - 11 (Age 2 - School Year 6),11.80,10.96,12.68
26-Jan-22,2 - 11 (Age 2 - School Year 6),13.09,12.13,14.07
02-Feb-22,2 - 11 (Age 2 - School Year 6),11.46,10.56,12.39
09-Feb-22,2 - 11 (Age 2 - School Year 6),7.60,6.89,8.35
16-Feb-22,2 - 11 (Age 2 - School Year 6),4.84,4.23,5.50
23-Feb-22,2 - 11 (Age 2 - School Year 6),4.49,3.93,5.08
02-Mar-22,2 - 11 (Age 2 - School Year 6),4.17,3.60,4.79
16-May-20,12 - 16 (School Year 7 - Year 11),0.00,0.00,0.32
30-May-20,12 - 16 (School Year 7 - Year 11),0.07,0.00,0.40
13-Jun-20,12 - 16 (School Year 7 - Year 11),0.06,0.00,0.35
27-Jun-20,12 - 16 (School Year 7 - Year 11),0.08,0.00,0.45
11-Jul-20,12 - 16 (School Year 7 - Year 11),0.00,0.00,0.20
25-Jul-20,12 - 16 (School Year 7 - Year 11),0.00,0.00,0.22
08-Aug-20,12 - 16 (School Year 7 - Year 11),0.07,0.01,0.26
22-Aug-20,12 - 16 (School Year 7 - Year 11),0.04,0.00,0.22
05-Sep-20,12 - 16 (School Year 7 - Year 11),0.13,0.02,0.39
19-Sep-20,12 - 16 (School Year 7 - Year 11),0.43,0.27,0.65
03-Oct-20,12 - 16 (School Year 7 - Year 11),1.02,0.80,1.28
17-Oct-20,12 - 16 (School Year 7 - Year 11),1.75,1.47,2.08
31-Oct-20,12 - 16 (School Year 7 - Year 11),1.88,1.57,2.23
14-Nov-20,12 - 16 (School Year 7 - Year 11),2.39,2.05,2.76
28-Nov-20,12 - 16 (School Year 7 - Year 11),2.15,1.83,2.50
12-Dec-20,12 - 16 (School Year 7 - Year 11),2.78,2.42,3.18
26-Dec-20,12 - 16 (School Year 7 - Year 11),3.74,3.24,4.29
09-Jan-21,12 - 16 (School Year 7 - Year 11),2.61,2.26,2.98
23-Jan-21,12 - 16 (School Year 7 - Year 11),1.98,1.67,2.33
06-Feb-21,12 - 16 (School Year 7 - Year 11),1.07,0.84,1.34
20-Feb-21,12 - 16 (School Year 7 - Year 11),0.66,0.49,0.87
06-Mar-21,12 - 16 (School Year 7 - Year 11),0.44,0.30,0.63
20-Mar-21,12 - 16 (School Year 7 - Year 11),0.35,0.22,0.52
03-Apr-21,12 - 16 (School Year 7 - Year 11),0.43,0.29,0.61
17-Apr-21,12 - 16 (School Year 7 - Year 11),0.27,0.17,0.42
01-May-21,12 - 16 (School Year 7 - Year 11),0.09,0.04,0.19
15-May-21,12 - 16 (School Year 7 - Year 11),0.16,0.08,0.29
29-May-21,12 - 16 (School Year 7 - Year 11),0.45,0.29,0.65
12-Jun-21,12 - 16 (School Year 7 - Year 11),0.34,0.22,0.50
26-Jun-21,12 - 16 (School Year 7 - Year 11),0.98,0.73,1.28
10-Jul-21,12 - 16 (School Year 7 - Year 11),2.12,1.76,2.52
24-Jul-21,12 - 16 (School Year 7 - Year 11),3.48,3.00,4.00
07-Aug-21,12 - 16 (School Year 7 - Year 11),2.64,2.23,3.10
21-Aug-21,12 - 16 (School Year 7 - Year 11),2.52,2.12,2.97
04-Sep-21,12 - 16 (School Year 7 - Year 11),2.70,2.32,3.12
18-Sep-21,12 - 16 (School Year 7 - Year 11),3.28,2.87,3.73
02-Oct-21,12 - 16 (School Year 7 - Year 11),6.42,5.85,7.02
16-Oct-21,12 - 16 (School Year 7 - Year 11),7.37,6.78,8.00
30-Oct-21,12 - 16 (School Year 7 - Year 11),5.68,5.13,6.27
13-Nov-21,12 - 16 (School Year 7 - Year 11),3.39,2.99,3.83
27-Nov-21,12 - 16 (School Year 7 - Year 11),3.16,2.76,3.60
11-Dec-21,12 - 16 (School Year 7 - Year 11),2.99,2.60,3.43
25-Dec-21,12 - 16 (School Year 7 - Year 11),4.93,4.38,5.54
03-Jan-22,12 - 16 (School Year 7 - Year 11),6.21,5.41,7.04
12-Jan-22,12 - 16 (School Year 7 - Year 11),5.26,4.59,6.01
19-Jan-22,12 - 16 (School Year 7 - Year 11),6.45,5.70,7.21
26-Jan-22,12 - 16 (School Year 7 - Year 11),7.63,6.80,8.56
02-Feb-22,12 - 16 (School Year 7 - Year 11),8.73,7.93,9.56
09-Feb-22,12 - 16 (School Year 7 - Year 11),6.26,5.60,6.97
16-Feb-22,12 - 16 (School Year 7 - Year 11),3.87,3.31,4.46
23-Feb-22,12 - 16 (School Year 7 - Year 11),3.14,2.65,3.65
02-Mar-22,12 - 16 (School Year 7 - Year 11),2.40,1.93,2.93