"years","L.ht","M.ht","S.ht","L.wt","M.wt","S.wt","L.bmi","M.bmi","S.bmi","L.head","M.head","S.head","L.sitht","M.sitht","S.sitht","L.leglen","M.leglen","S.leglen","L.waist","M.waist","S.waist","L.bfat","M.bfat","S.bfat","sex"
8.667,1,131.54,0.04324,-1.072,27.458,0.15204,-1.846,15.929,0.10189,1,54.076,0.02924,1,70.519,0.04812,1,62.37,0.05504,-2.189338,55.55359,0.075808,-1.472896,17.3234,0.1909365,"1"
8.75,1,131.97,0.0433,-1.078,27.69,0.15286,-1.848,15.955,0.1024,1,54.101,0.02925,1,70.727,0.04812,1,62.623,0.05504,-2.208523,55.68186,0.076176,-1.466431,17.35814,0.1918823,"1"
8.833,1,132.41,0.04337,-1.083,27.922,0.15366,-1.85,15.982,0.1029,1,54.126,0.02926,1,70.931,0.04812,1,62.873,0.05504,-2.227568,55.81192,0.076544,-1.459842,17.39244,0.1928255,"1"
8.917,1,132.84,0.04344,-1.088,28.1557,0.15446,-1.852,16.009,0.1034,1,54.152,0.02926,1,71.134,0.04812,1,63.118,0.05504,-2.246431,55.94376,0.076911,-1.453127,17.42627,0.1937657,"1"
9,1,133.28,0.04351,-1.092,28.39,0.15525,-1.854,16.037,0.10388,1,54.178,0.02927,1,71.335,0.04812,1,63.36,0.05504,-2.265068,56.0773,0.077277,-1.446286,17.45957,0.1947026,"1"
9.083,1,133.71,0.04359,-1.095,28.6266,0.15602,-1.855,16.066,0.10435,1,54.203,0.02928,1,71.535,0.04812,1,63.598,0.05504,-2.283428,56.21247,0.077643,-1.439318,17.49224,0.1956358,"1"
9.167,1,134.14,0.04367,-1.098,28.8637,0.15677,-1.856,16.095,0.10482,1,54.229,0.02929,1,71.732,0.04812,1,63.833,0.05504,-2.301463,56.34921,0.078006,-1.432224,17.52416,0.196565,"1"
9.25,1,134.57,0.04376,-1.101,29.103,0.15751,-1.857,16.125,0.10527,1,54.254,0.0293,1,71.928,0.04812,1,64.065,0.05504,-2.319129,56.48745,0.078368,-1.425003,17.55518,0.1974898,"1"
9.333,1,134.99,0.04384,-1.103,29.343,0.15824,-1.858,16.155,0.10571,1,54.279,0.02931,1,72.122,0.04812,1,64.295,0.05504,-2.336377,56.62713,0.078728,-1.417653,17.58509,0.1984099,"1"
9.417,1,135.42,0.04394,-1.104,29.585,0.15895,-1.858,16.187,0.10615,1,54.305,0.02932,1,72.315,0.04812,1,64.522,0.05504,-2.353165,56.76824,0.079085,-1.410172,17.61372,0.1993248,"1"
9.5,1,135.84,0.04403,-1.105,29.828,0.15963,-1.859,16.219,0.10657,1,54.33,0.02933,1,72.507,0.04812,1,64.747,0.05504,-2.369452,56.91077,0.07944,-1.402556,17.6409,0.2002342,"1"
9.583,1,136.26,0.04413,-1.105,30.074,0.16031,-1.859,16.251,0.10698,1,54.355,0.02933,1,72.696,0.04812,1,64.97,0.05504,-2.385191,57.05471,0.079792,-1.394805,17.66644,0.2011377,"1"
9.667,1,136.68,0.04423,-1.104,30.323,0.16096,-1.859,16.284,0.10738,1,54.38,0.02934,1,72.884,0.04812,1,65.191,0.05504,-2.400333,57.20003,0.080141,-1.386915,17.6902,0.2020349,"1"
9.75,1,137.1,0.04433,-1.103,30.574,0.16161,-1.859,16.318,0.10777,1,54.406,0.02935,1,73.069,0.04812,1,65.411,0.05504,-2.414835,57.34672,0.080487,-1.378883,17.712,0.2029255,"1"
9.833,1,137.53,0.04444,-1.102,30.829,0.16224,-1.859,16.352,0.10815,1,54.431,0.02936,1,73.254,0.04812,1,65.63,0.05504,-2.428662,57.49477,0.080829,-1.370708,17.73171,0.203809,"1"
9.917,1,137.96,0.04456,-1.099,31.0876,0.16286,-1.858,16.387,0.10852,1,54.457,0.02937,1,73.435,0.04812,1,65.847,0.05504,-2.441788,57.64419,0.081168,-1.362388,17.74916,0.2046852,"1"
10,1,138.39,0.04468,-1.097,31.35,0.16347,-1.857,16.423,0.10888,1,54.482,0.02938,1,73.616,0.04812,1,66.063,0.05504,-2.454193,57.79495,0.081502,-1.353924,17.76423,0.2055541,"1"
10.083,1,138.82,0.0448,-1.093,31.615,0.16408,-1.856,16.459,0.10923,1,54.507,0.02938,1,73.792,0.04812,1,66.279,0.05504,-2.465862,57.94707,0.081833,-1.345316,17.77683,0.2064154,"1"
10.167,1,139.26,0.04493,-1.089,31.883,0.16469,-1.855,16.496,0.10957,1,54.533,0.02939,1,73.966,0.04812,1,66.493,0.05504,-2.476786,58.10055,0.082159,-1.336563,17.7869,0.2072689,"1"
10.25,1,139.69,0.04506,-1.085,32.152,0.16528,-1.854,16.533,0.1099,1,54.558,0.0294,1,74.138,0.04812,1,66.707,0.05504,-2.486961,58.25538,0.082482,-1.327666,17.79438,0.2081145,"1"
10.333,1,140.12,0.0452,-1.08,32.4224,0.16588,-1.853,16.57,0.11022,1,54.584,0.02941,1,74.307,0.04812,1,66.92,0.05504,-2.496382,58.41158,0.082799,-1.318624,17.79926,0.2089521,"1"
10.417,1,140.54,0.04534,-1.074,32.6934,0.16648,-1.851,16.609,0.11054,1,54.61,0.02942,1,74.472,0.04812,1,67.133,0.05504,-2.505034,58.56911,0.083112,-1.309437,17.80149,0.2097816,"1"
10.5,1,140.96,0.04548,-1.068,32.964,0.16707,-1.85,16.648,0.11084,1,54.635,0.02943,1,74.637,0.04812,1,67.346,0.05504,-2.512915,58.72797,0.083421,-1.300103,17.80105,0.2106027,"1"
10.583,1,141.37,0.04562,-1.061,33.234,0.16766,-1.848,16.687,0.11114,1,54.661,0.02943,1,74.798,0.04812,1,67.559,0.05504,-2.52001,58.88815,0.083725,-1.29062,17.79793,0.2114153,"1"
10.667,1,141.78,0.04577,-1.053,33.5036,0.16825,-1.846,16.727,0.11143,1,54.687,0.02944,1,74.957,0.04812,1,67.772,0.05504,-2.5263,59.04959,0.084024,-1.280989,17.79204,0.2122194,"1"
10.75,1,142.18,0.04592,-1.045,33.774,0.16884,-1.844,16.768,0.1117,1,54.713,0.02945,1,75.114,0.04812,1,67.986,0.05504,-2.531767,59.21225,0.084318,-1.271211,17.78337,0.2130147,"1"
10.833,1,142.58,0.04607,-1.037,34.0437,0.16943,-1.842,16.808,0.11197,1,54.74,0.02946,1,75.269,0.04812,1,68.201,0.05504,-2.53639,59.37609,0.084607,-1.261287,17.77193,0.2138013,"1"
10.917,1,142.98,0.04623,-1.027,34.3143,0.17001,-1.839,16.85,0.11223,1,54.766,0.02946,1,75.424,0.04812,1,68.417,0.05504,-2.540156,59.5411,0.08489,-1.25122,17.75774,0.214579,"1"
11,1,143.37,0.04638,-1.018,34.585,0.1706,-1.837,16.892,0.11249,1,54.793,0.02947,1,75.576,0.04812,1,68.636,0.05504,-2.543053,59.70726,0.085169,-1.241012,17.74085,0.2153477,"1"
11.083,1,143.77,0.04654,-1.007,34.8568,0.17119,-1.834,16.935,0.11273,1,54.82,0.02948,1,75.728,0.04812,1,68.855,0.05504,-2.54508,59.87458,0.085442,-1.230667,17.72136,0.2161076,"1"
11.167,1,144.16,0.0467,-0.996,35.1298,0.17176,-1.831,16.977,0.11296,1,54.846,0.02949,1,75.879,0.04812,1,69.078,0.05504,-2.546253,60.04307,0.08571,-1.22019,17.69939,0.2168587,"1"
11.25,1,144.55,0.04687,-0.985,35.405,0.17233,-1.829,17.02,0.11319,1,54.874,0.02949,1,76.029,0.04812,1,69.303,0.05504,-2.546584,60.21274,0.085972,-1.209586,17.67504,0.2176009,"1"
11.333,1,144.95,0.04704,-0.973,35.6823,0.17289,-1.826,17.065,0.11341,1,54.902,0.0295,1,76.179,0.04812,1,69.531,0.05504,-2.546088,60.38363,0.086228,-1.198862,17.64838,0.2183342,"1"
11.417,1,145.34,0.04721,-0.96,35.9633,0.17343,-1.823,17.108,0.11362,1,54.929,0.02951,1,76.33,0.04812,1,69.762,0.05504,-2.544778,60.55577,0.086478,-1.188022,17.61953,0.2190587,"1"
11.5,1,145.75,0.04738,-0.947,36.25,0.17397,-1.819,17.154,0.11382,1,54.956,0.02952,1,76.48,0.04812,1,69.997,0.05504,-2.542667,60.72917,0.086723,-1.177074,17.58857,0.2197741,"1"
11.583,1,146.16,0.04755,-0.933,36.5432,0.17449,-1.816,17.199,0.11402,1,54.984,0.02952,1,76.63,0.04812,1,70.236,0.05504,-2.539772,60.90387,0.086961,-1.166023,17.55557,0.2204804,"1"
11.667,1,146.58,0.04774,-0.918,36.8423,0.175,-1.813,17.244,0.1142,1,55.012,0.02953,1,76.781,0.04812,1,70.478,0.05504,-2.536116,61.0799,0.087194,-1.154876,17.52065,0.2211774,"1"
11.75,1,147.02,0.04792,-0.903,37.149,0.1755,-1.809,17.291,0.11438,1,55.04,0.02954,1,76.933,0.04812,1,70.724,0.05504,-2.531721,61.2573,0.087421,-1.143639,17.4839,0.221865,"1"
11.833,1,147.46,0.0481,-0.887,37.4638,0.17599,-1.806,17.338,0.11456,1,55.069,0.02955,1,77.087,0.04812,1,70.975,0.05504,-2.526603,61.43612,0.087642,-1.132321,17.44543,0.2225428,"1"
11.917,1,147.91,0.04829,-0.87,37.7877,0.17647,-1.802,17.386,0.11472,1,55.098,0.02955,1,77.244,0.04812,1,71.229,0.05504,-2.520786,61.61638,0.087856,-1.120929,17.40536,0.2232107,"1"
12,1,148.36,0.04848,-0.852,38.122,0.17692,-1.799,17.433,0.11488,1,55.126,0.02956,1,77.403,0.04812,1,71.488,0.05504,-2.514293,61.79812,0.088065,-1.10947,17.3638,0.2238684,"1"
12.083,1,148.83,0.04868,-0.834,38.4653,0.17736,-1.795,17.481,0.11503,1,55.155,0.02957,1,77.566,0.04812,1,71.752,0.05504,-2.507138,61.98129,0.088268,-1.097948,17.32083,0.2245158,"1"
12.167,1,149.31,0.04887,-0.816,38.8201,0.17778,-1.791,17.53,0.11517,1,55.184,0.02957,1,77.732,0.04812,1,72.02,0.05504,-2.499309,62.16579,0.088465,-1.086368,17.27653,0.2251526,"1"
12.25,1,149.81,0.04906,-0.796,39.185,0.1782,-1.787,17.579,0.11532,1,55.214,0.02958,1,77.903,0.04812,1,72.294,0.05504,-2.490789,62.35149,0.088656,-1.074735,17.23097,0.2257785,"1"
12.333,1,150.31,0.04926,-0.776,39.5619,0.1786,-1.783,17.629,0.11545,1,55.243,0.02959,1,78.079,0.04812,1,72.572,0.05504,-2.481553,62.53827,0.088842,-1.063053,17.18427,0.2263933,"1"
12.417,1,150.83,0.04945,-0.755,39.9494,0.179,-1.78,17.679,0.11558,1,55.272,0.02959,1,78.261,0.04812,1,72.853,0.05504,-2.471583,62.72599,0.089022,-1.05133,17.13655,0.2269967,"1"
12.5,1,151.35,0.04964,-0.734,40.348,0.17938,-1.776,17.729,0.1157,1,55.302,0.0296,1,78.449,0.04812,1,73.14,0.05504,-2.460857,62.91457,0.089197,-1.039571,17.08798,0.2275885,"1"
12.583,1,151.89,0.04983,-0.712,40.7577,0.17978,-1.771,17.779,0.11581,1,55.332,0.02961,1,78.645,0.04812,1,73.431,0.05504,-2.449353,63.10388,0.089367,-1.027781,17.0387,0.2281685,"1"
12.667,1,152.44,0.05001,-0.69,41.1778,0.18017,-1.767,17.83,0.11592,1,55.362,0.02961,1,78.849,0.04812,1,73.727,0.05504,-2.437046,63.29386,0.089532,-1.015963,16.98885,0.2287363,"1"
12.75,1,153,0.05019,-0.668,41.609,0.18057,-1.763,17.881,0.11603,1,55.392,0.02962,1,79.063,0.04812,1,74.025,0.05504,-2.423921,63.48447,0.089692,-1.004122,16.93856,0.2292919,"1"
12.833,1,153.58,0.05037,-0.645,42.0509,0.18095,-1.759,17.933,0.11613,1,55.422,0.02963,1,79.287,0.04812,1,74.328,0.05504,-2.409962,63.67568,0.089847,-0.9922587,16.88795,0.2298351,"1"
12.917,1,154.17,0.05053,-0.622,42.5052,0.18135,-1.755,17.985,0.11622,1,55.453,0.02963,1,79.522,0.04812,1,74.634,0.05504,-2.395163,63.86747,0.089997,-0.980372,16.83714,0.2303658,"1"
13,1,154.77,0.05068,-0.599,42.97,0.18173,-1.75,18.037,0.11631,1,55.484,0.02964,1,79.769,0.04812,1,74.941,0.05504,-2.379515,64.05983,0.090142,-0.9684618,16.78624,0.2308839,"1"
13.083,1,155.38,0.05083,-0.575,43.4457,0.1821,-1.746,18.089,0.11639,1,55.514,0.02964,1,80.028,0.04812,1,75.251,0.05504,-2.363002,64.25272,0.090283,-0.9565292,16.73537,0.2313892,"1"
13.167,1,156,0.05095,-0.552,43.932,0.18245,-1.742,18.142,0.11647,1,55.546,0.02965,1,80.298,0.04812,1,75.563,0.05504,-2.345613,64.44608,0.09042,-0.9445757,16.68466,0.2318818,"1"
13.25,1,156.63,0.05107,-0.53,44.428,0.18278,-1.738,18.194,0.11655,1,55.576,0.02966,1,80.58,0.04812,1,75.875,0.05504,-2.327344,64.63985,0.090552,-0.9326022,16.63422,0.2323613,"1"
13.333,1,157.27,0.05116,-0.507,44.9328,0.18307,-1.733,18.247,0.11662,1,55.608,0.02966,1,80.876,0.04812,1,76.187,0.05504,-2.3082,64.834,0.090679,-0.9206094,16.58417,0.2328279,"1"
13.417,1,157.91,0.05123,-0.485,45.4445,0.18334,-1.729,18.3,0.11668,1,55.639,0.02967,1,81.184,0.04812,1,76.499,0.05504,-2.288231,65.02843,0.090803,-0.9085961,16.53461,0.2332815,"1"
13.5,1,158.55,0.05129,-0.463,45.963,0.18359,-1.724,18.354,0.11674,1,55.67,0.02967,1,81.503,0.04812,1,76.81,0.05504,-2.267458,65.22311,0.090922,-0.8965593,16.48562,0.2337223,"1"
13.583,1,159.2,0.05132,-0.442,46.4868,0.1838,-1.72,18.407,0.1168,1,55.701,0.02968,1,81.83,0.04812,1,77.118,0.05504,-2.245921,65.41799,0.091037,-0.8844966,16.43727,0.2341504,"1"
13.667,1,159.84,0.05133,-0.422,47.0153,0.18397,-1.715,18.46,0.11685,1,55.732,0.02969,1,82.168,0.04812,1,77.423,0.05504,-2.223677,65.61303,0.091149,-0.8724074,16.38963,0.2345661,"1"
13.75,1,160.47,0.05131,-0.403,47.547,0.18411,-1.711,18.514,0.1169,1,55.764,0.02969,1,82.512,0.04812,1,77.725,0.05504,-2.200793,65.8082,0.091256,-0.8602912,16.34278,0.2349695,"1"
13.833,1,161.11,0.05126,-0.384,48.081,0.18421,-1.707,18.567,0.11695,1,55.795,0.0297,1,82.862,0.04812,1,78.023,0.05504,-2.177356,66.00346,0.091361,-0.848148,16.29679,0.2353609,"1"
13.917,1,161.74,0.0512,-0.367,48.6173,0.18427,-1.702,18.621,0.11699,1,55.827,0.0297,1,83.215,0.04812,1,78.314,0.05504,-2.153468,66.19878,0.091462,-0.8359792,16.25171,0.2357402,"1"
14,1,162.36,0.0511,-0.351,49.154,0.18428,-1.697,18.675,0.11703,1,55.858,0.02971,1,83.57,0.04812,1,78.601,0.05504,-2.129225,66.39415,0.09156,-0.8237886,16.20763,0.2361076,"1"
14.083,1,162.97,0.05098,-0.336,49.6907,0.18425,-1.693,18.729,0.11706,1,55.889,0.02971,1,83.925,0.04812,1,78.88,0.05504,-2.1047,66.58949,0.091655,-0.811581,16.16462,0.2364635,"1"
14.167,1,163.58,0.05083,-0.322,50.2259,0.18415,-1.689,18.783,0.1171,1,55.921,0.02972,1,84.28,0.04812,1,79.153,0.05504,-2.07994,66.78477,0.091748,-0.7993608,16.12273,0.2368081,"1"
14.25,1,164.17,0.05065,-0.31,50.76,0.18399,-1.684,18.836,0.11712,1,55.953,0.02972,1,84.631,0.04812,1,79.418,0.05504,-2.054985,66.97993,0.091838,-0.787132,16.082,0.2371418,"1"
14.333,1,164.75,0.05045,-0.299,51.2915,0.18376,-1.68,18.89,0.11715,1,55.983,0.02973,1,84.978,0.04812,1,79.675,0.05504,-2.02987,67.17496,0.091925,-0.7748984,16.0425,0.2374647,"1"
14.417,1,165.33,0.05023,-0.289,51.8192,0.18346,-1.675,18.944,0.11717,1,56.014,0.02973,1,85.322,0.04812,1,79.923,0.05504,-2.004637,67.36983,0.092009,-0.7626634,16.00426,0.2377772,"1"
14.5,1,165.88,0.04998,-0.281,52.343,0.18309,-1.671,18.997,0.11719,1,56.046,0.02974,1,85.661,0.04812,1,80.164,0.05504,-1.979334,67.56454,0.092092,-0.7504285,15.96736,0.2380796,"1"
14.583,1,166.43,0.04971,-0.275,52.8618,0.18263,-1.666,19.051,0.11721,1,56.077,0.02974,1,85.995,0.04812,1,80.397,0.05504,-1.954008,67.7591,0.092172,-0.7381908,15.93183,0.2383723,"1"
14.667,1,166.96,0.04942,-0.269,53.375,0.18209,-1.661,19.104,0.11722,1,56.108,0.02975,1,86.323,0.04812,1,80.621,0.05504,-1.928703,67.9535,0.092251,-0.725947,15.89771,0.2386556,"1"
14.75,1,167.48,0.04912,-0.266,53.883,0.18146,-1.657,19.158,0.11723,1,56.139,0.02975,1,86.644,0.04812,1,80.837,0.05504,-1.903469,68.14773,0.092327,-0.7136941,15.86502,0.2389299,"1"
14.833,1,167.98,0.04879,-0.263,54.385,0.18075,-1.652,19.211,0.11724,1,56.17,0.02976,1,86.956,0.04812,1,81.045,0.05504,-1.878354,68.34178,0.092402,-0.7014298,15.83379,0.2391953,"1"
14.917,1,168.47,0.04846,-0.263,54.8807,0.17995,-1.648,19.264,0.11724,1,56.201,0.02976,1,87.261,0.04812,1,81.245,0.05504,-1.853397,68.53562,0.092475,-0.6891474,15.80399,0.2394523,"1"
15,1,168.94,0.04811,-0.263,55.369,0.17908,-1.643,19.317,0.11725,1,56.232,0.02977,1,87.556,0.04812,1,81.436,0.05504,-1.828643,68.72923,0.092547,-0.6768356,15.77557,0.2397013,"1"
15.083,1,169.4,0.04776,-0.265,55.851,0.17813,-1.639,19.37,0.11725,1,56.262,0.02977,1,87.842,0.04812,1,81.62,0.05504,-1.804131,68.92259,0.092617,-0.6644837,15.74848,0.2399429,"1"
15.167,1,169.84,0.0474,-0.268,56.3242,0.1771,-1.635,19.423,0.11725,1,56.293,0.02978,1,88.12,0.04812,1,81.796,0.05504,-1.779896,69.11572,0.092687,-0.6520809,15.72269,0.2401776,"1"
15.25,1,170.26,0.04703,-0.272,56.7897,0.176,-1.63,19.475,0.11724,1,56.324,0.02978,1,88.389,0.04812,1,81.965,0.05504,-1.755975,69.30863,0.092755,-0.6396194,15.69817,0.2404059,"1"
15.333,1,170.67,0.04666,-0.278,57.2474,0.17482,-1.626,19.528,0.11724,1,56.354,0.02979,1,88.648,0.04812,1,82.126,0.05504,-1.732414,69.50138,0.092822,-0.6270942,15.67491,0.2406285,"1"
15.417,1,171.06,0.0463,-0.284,57.6966,0.17357,-1.621,19.579,0.11723,1,56.384,0.02979,1,88.9,0.04812,1,82.28,0.05504,-1.709243,69.694,0.092887,-0.6145009,15.65287,0.240846,"1"
15.5,1,171.43,0.04594,-0.292,58.138,0.17226,-1.617,19.632,0.11722,1,56.414,0.0298,1,89.145,0.04812,1,82.428,0.05504,-1.686434,69.8865,0.092951,-0.6018356,15.63204,0.2410589,"1"
15.583,1,171.79,0.04558,-0.3,58.5697,0.17087,-1.612,19.683,0.11721,1,56.444,0.0298,1,89.383,0.04812,1,82.569,0.05504,-1.66396,70.07888,0.093014,-0.5890944,15.61238,0.2412679,"1"
15.667,1,172.14,0.04522,-0.309,58.9933,0.16944,-1.608,19.735,0.11719,1,56.474,0.0298,1,89.614,0.04812,1,82.703,0.05504,-1.641809,70.27116,0.093076,-0.5762737,15.59388,0.2414735,"1"
15.75,1,172.48,0.04488,-0.319,59.4074,0.16797,-1.603,19.786,0.11718,1,56.503,0.02981,1,89.838,0.04812,1,82.832,0.05504,-1.619953,70.46329,0.093137,-0.5633702,15.57652,0.2416763,"1"
15.833,1,172.79,0.04454,-0.33,59.8116,0.16645,-1.599,19.837,0.11716,1,56.533,0.02981,1,90.057,0.04812,1,82.954,0.05504,-1.598348,70.65526,0.093197,-0.5503801,15.56033,0.2418767,"1"
15.917,1,173.1,0.04421,-0.341,60.2047,0.16491,-1.595,19.887,0.11714,1,56.562,0.02982,1,90.269,0.04812,1,83.071,0.05504,-1.576956,70.84704,0.093257,-0.5372999,15.54529,0.2420754,"1"
16,1,173.39,0.04389,-0.352,60.588,0.16336,-1.59,19.938,0.11712,1,56.591,0.02982,1,90.475,0.04812,1,83.182,0.05504,-1.555748,71.03864,0.093316,-0.5241261,15.53143,0.2422727,"1"
16.083,1,173.66,0.04358,-0.364,60.9597,0.1618,-1.586,19.988,0.1171,1,56.621,0.02983,1,90.673,0.04812,1,83.287,0.05504,-1.534695,71.23006,0.093374,-0.5108554,15.51875,0.242469,"1"
16.167,1,173.93,0.04328,-0.376,61.3195,0.16025,-1.582,20.038,0.11708,1,56.65,0.02983,1,90.864,0.04812,1,83.388,0.05504,-1.513767,71.42133,0.093433,-0.4974859,15.50721,0.2426648,"1"
16.25,1,174.18,0.043,-0.387,61.668,0.15872,-1.577,20.087,0.11706,1,56.679,0.02984,1,91.049,0.04812,1,83.482,0.05504,-1.492941,71.61246,0.093491,-0.4840158,15.49676,0.2428604,"1"
16.333,1,174.42,0.04273,-0.399,62.0053,0.15722,-1.573,20.137,0.11703,1,56.707,0.02984,1,91.225,0.04812,1,83.572,0.05504,-1.472202,71.80344,0.093549,-0.4704435,15.48737,0.2430563,"1"
16.417,1,174.64,0.04246,-0.411,62.3324,0.15576,-1.569,20.186,0.117,1,56.736,0.02984,1,91.395,0.04812,1,83.657,0.05504,-1.451539,71.99429,0.093607,-0.4567673,15.47898,0.2432527,"1"
16.5,1,174.86,0.04222,-0.422,62.647,0.15434,-1.564,20.234,0.11698,1,56.764,0.02985,1,91.558,0.04812,1,83.737,0.05504,-1.430933,72.18504,0.093665,-0.4429855,15.47156,0.24345,"1"
16.583,1,175.06,0.04198,-0.434,62.9519,0.15297,-1.56,20.282,0.11695,1,56.792,0.02985,1,91.714,0.04812,1,83.812,0.05504,-1.410372,72.37569,0.093724,-0.4290964,15.46506,0.2436484,"1"
16.667,1,175.25,0.04175,-0.445,63.2463,0.15166,-1.556,20.33,0.11692,1,56.821,0.02985,1,91.863,0.04812,1,83.883,0.05504,-1.389841,72.56628,0.093782,-0.4150986,15.45944,0.2438483,"1"
16.75,1,175.43,0.04154,-0.456,63.531,0.15041,-1.551,20.378,0.11689,1,56.849,0.02986,1,92.006,0.04812,1,83.95,0.05504,-1.36933,72.75684,0.09384,-0.4009908,15.45465,0.2440498,"1"
16.833,1,175.61,0.04134,-0.467,63.806,0.14922,-1.547,20.425,0.11686,1,56.876,0.02986,1,92.143,0.04812,1,84.012,0.05504,-1.348834,72.94739,0.093898,-0.3867724,15.45064,0.2442531,"1"
16.917,1,175.77,0.04114,-0.478,64.0717,0.14807,-1.543,20.472,0.11683,1,56.904,0.02987,1,92.274,0.04812,1,84.071,0.05504,-1.328346,73.13793,0.093957,-0.3724427,15.44734,0.2444585,"1"
17,1,175.92,0.04096,-0.489,64.329,0.14699,-1.538,20.519,0.1168,1,56.932,0.02987,1,92.398,0.04812,1,84.126,0.05504,-1.307862,73.32848,0.094015,-0.3580019,15.44469,0.2446661,"1"
17.083,1,176.07,0.04079,-0.5,64.5782,0.14596,-1.534,20.565,0.11677,1,56.96,0.02987,1,92.516,0.04812,1,84.176,0.05504,NA,NA,NA,-0.34345,15.44262,0.2448761,"1"
17.167,1,176.21,0.04063,-0.51,64.8187,0.14498,-1.53,20.611,0.11674,1,56.987,0.02988,1,92.63,0.04812,1,84.223,0.05504,NA,NA,NA,-0.3287868,15.44107,0.2450886,"1"
17.25,1,176.33,0.04047,-0.52,65.051,0.14407,-1.526,20.656,0.1167,1,57.014,0.02988,1,92.737,0.04812,1,84.266,0.05504,NA,NA,NA,-0.3140127,15.44,0.2453037,"1"
17.333,1,176.45,0.04033,-0.53,65.2768,0.1432,-1.521,20.702,0.11667,1,57.041,0.02989,1,92.839,0.04812,1,84.306,0.05504,NA,NA,NA,-0.2991282,15.43937,0.2455216,"1"
